ukprn,he_provider,country_of_he_provider,region_of_he_provider,academic_year,int_n_consult_sme,int_n_consult_lc,int_n_consult_nc,int_n_consult_total,int_v_consult_sme_000gbp,int_v_consult_lc_000gbp,int_v_consult_nc_000gbp,int_v_consult_total_000gbp,int_n_fe_sme,int_n_fe_lc,int_n_fe_nc,int_n_fe_total,int_v_fe_sme_000gbp,int_v_fe_lc_000gbp,int_v_fe_nc_000gbp,int_v_fe_total_000gbp,cpd_sme_000gbp,cpd_lc_000gbp,cpd_nc_000gbp,cpd_indiv_000gbp,cpd_tot_rev_000gbp,cpd_lrnr_days,contract_int_n_sme,contract_int_n_lc,contract_int_n_nc,contract_int_n_total,contract_int_v_sme_000gbp,contract_int_v_lc_000gbp,contract_int_v_nc_000gbp,contract_int_v_total_000gbp,cumul_patent,n_disclosures,n_patents_filed,n_external_patents,n_patents_granted,nonsoftware_sme,nonsoftware_lc,software_sme,software_lc,license_inc_nsw_nc_000gbp,license_inc_nsw_lc_000gbp,license_inc_nsw_sme_000gbp,license_inc_ip_nc_000gbp,license_inc_ip_lc_000gbp,license_inc_ip_sme_000gbp,license_inc_sw_nc_000gbp,license_inc_sw_lc_000gbp,license_inc_sw_sme_000gbp,external_investment_spin,n_spinouts_surv3,hefunds_eu_industry,hefunds_noneu_industry,hefunds_research_councils,hefunds_total,hefunds_uk_industry,inc_collab_public,ay_cpi,bci_sme,bci_lc,bci_total,cagr_5yr_2324,cluster
10007138,The University of Northampton,England,East Midlands,2023/24,2,3,1,6,12.45234384,148.3904308,13.49003916,174.3328138,3,3,0,6,5.188476601,1.03769532,0,6.226171921,11.41464852,0,949.491218,223.1044938,1184.01036,5389,0,8,25,33,0,421.3043,546.8654337,968.1697337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.9558606,1409.190245,184.709767,33.20625025,96.3674,17.64082044,570.7324261,588.3732466,0.061132264,"Small and mid-size, teaching focus"
10007138,The University of Northampton,England,East Midlands,2024/25,0,3,7,10,0,55,60,115,0,0,0,0,0,0,0,0,6,0,690,144,840,2261,1,11,12,24,102,186,655,943,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,124,1510,227,178,100,102,242,344,0.061132264,"Small and mid-size, teaching focus"
10008816,Northern School of Contemporary Dance,England,Yorkshire and The Humber,2021/22,17,2,0,19,20.8406179,5.789060528,0,26.62967843,41,1,0,42,57.89060528,2.315624211,0,60.20622949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.3698,78.73122318,8.104684739,86.83590792,,"Small and mid-size, teaching focus"
10008816,Northern School of Contemporary Dance,England,Yorkshire and The Humber,2022/23,45,1,0,46,72.89636856,16.32008251,0,89.21645108,51,0,0,51,72.89636856,0,0,72.89636856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.9113,145.7927371,16.32008251,162.1128196,,"Small and mid-size, teaching focus"
10008816,Northern School of Contemporary Dance,England,Yorkshire and The Humber,2023/24,55,0,0,55,88.20410222,0,0,88.20410222,44,0,0,44,65.37480517,0,0,65.37480517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.3674,153.5789074,0,153.5789074,,"Small and mid-size, teaching focus"
10008816,Northern School of Contemporary Dance,England,Yorkshire and The Humber,2024/25,55,0,0,55,90,0,0,90,52,0,0,52,70,0,0,70,0,0,0,1012,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,160,0,160,,"Small and mid-size, teaching focus"
10001282,University of Northumbria at Newcastle,England,North East,2014/15,54,83,76,213,140.2415695,397.5780417,355.369414,893.1890252,0,3,0,3,0,6.80784318,0,6.80784318,277.7600017,1281.236086,9702.5381,99.39451043,11360.9287,112155,18,45,54,117,99.39451043,792.4329461,475.187454,1367.014911,20,20,8,0,0,0,0,0,0,0,53.1011768,2.723137272,0,0,0,0,0,0,0,0,,,,,,,73.4447,242.3592172,1249.920008,1492.279225,0.082523334,Large with teaching and research focus
10001282,University of Northumbria at Newcastle,England,North East,2015/16,56,75,74,205,121.1683864,546.604054,232.9125649,900.6850053,0,2,1,3,0,2.692630808,2.692630808,5.385261616,382.3535747,1144.368093,9228.992094,141.3631174,10897.07688,54418,12,42,59,113,75.39366262,932.996575,655.6556017,1664.045839,16,32,8,0,0,0,1,0,0,0,109.0515477,5.385261616,0,0,0,0,0,0,0,0,141.3631174,578.9156237,2510.878228,7780.35672,504.8682765,3888.158887,74.2768,201.9473106,1591.344808,1793.292118,0.082523334,Large with teaching and research focus
10001282,University of Northumbria at Newcastle,England,North East,2016/17,61,49,106,216,89.97017753,361.203801,447.204706,898.3786845,0,1,0,1,0,1.323090846,0,1.323090846,219.6330804,526.5901567,9891.427165,87.32399584,10724.9744,43903,9,36,57,102,104.5241768,971.148681,779.3005083,1854.973366,20,40,0,4,0,0,0,0,0,0,63.50836061,6.61545423,0,0,0,0,0,0,0,4,210.3714445,676.0994223,2632.950784,7800.943628,549.0827011,4198.167255,75.5806,201.1098086,1397.183933,1598.293742,0.082523334,Large with teaching and research focus
10001282,University of Northumbria at Newcastle,England,North East,2017/18,68,39,98,205,183.6057035,260.433622,365.9092389,809.9485644,0,4,0,4,0,9.115176769,0,9.115176769,131.5189791,203.1382251,10024.09011,227.8794192,10586.62673,25076,14,32,54,100,346.3767172,641.9688782,526.0759164,1514.421512,24,24,12,0,0,1,0,0,0,5.20867244,65.1084055,5.20867244,0,0,0,0,0,0,0,4,417.9959633,246.1097728,3169.47718,8624.259392,668.0122404,5797.252425,76.795,535.1910932,976.6260824,1511.817176,0.082523334,Large with teaching and research focus
10001282,University of Northumbria at Newcastle,England,North East,2018/19,50,20,121,191,128.4353271,322.9957731,373.8612492,825.2923493,0,3,0,3,0,11.44473212,0,11.44473212,55.95202368,97.91604145,8288.529326,567.1500582,9009.54745,26740,12,29,57,98,366.2314277,941.0113074,902.8622003,2210.104935,92,40,32,0,12,0,1,0,0,0,17.80291663,0,0,0,0,0,0,0,0,4,724.8330341,445.0729157,4202.759961,10961.51009,300.1063088,7099.548823,78.6388,494.6667548,1293.254729,1787.921484,0.082523334,Large with teaching and research focus
10001282,University of Northumbria at Newcastle,England,North East,2019/20,51,31,108,190,95.81862272,117.9306126,621.5926038,835.3418391,0,3,0,3,0,3.685331643,0,3.685331643,12.28443881,36.85331643,6686.420044,453.2957921,7188.853592,17997,9,25,69,103,202.6932404,762.8636501,1153.508804,2119.065695,120,48,36,0,16,0,1,0,0,0,3.685331643,0,0,0,0,0,0,0,0,4,304.6540825,531.9162005,4388.001543,12247.58549,393.1020419,7885.381272,81.4038,298.5118631,888.164926,1186.676789,0.082523334,Large with teaching and research focus
